ciiu,descripcion
C3030.02       ,"FABRICACIÓN DE PLANEADORES, ALAS DELTA, DIRIGIBLES Y GLOBOS DE AIRE CALIENTE."
C3030.03       ,"FABRICACIÓN DE NAVES ESPACIALES Y VEHÍCULOS DE LANZAMIENTO DE NAVES ESPACIALES, SATÉLITES, SONDAS PLANETARIAS, ESTACIONES ORBITALES Y TRANSBORDADORES ESPACIALES INCLUIDO MISILES BALÍSTICOS INTERCONTINENTALES."
C3030.04       ,"FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA AERONAVES DE ESTA CLASE: ENSAMBLADURAS PRINCIPALES, COMO FUSELAJES, ALAS, PUERTAS, ASIENTOS PARA AERONAVES, PANELES DE MANDO, TRENES DE ATERRIZAJE, DEPÓSITOS DE COMBUSTIBLE, GÓNDOLAS, ETCÉTERA, HÉLICES, ROTORES DE HELICÓPTERO Y PALAS DE HÉLICE PROPULSADAS, MOTORES DEL TIPO UTILIZADO GENERALMENTE EN AERONAVES, PARTES DE TURBOPROPULSORES DE REACCIÓN Y DE HÉLICE PARA AERONAVES."
C3030.05       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE AERONAVES Y NAVES ESPECIALES Y MAQUINARIA CONEXA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C304           ,FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE.
C3040          ,FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE.
C3040.0        ,FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE.
C3040.01       ,"FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE: TANQUES DE COMBATE, VEHÍCULOS ANFIBIOS BLINDADOS."
C3040.02       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C309           ,FABRICACIÓN DE EQUIPO DE TRANSPORTE N.C.P.
C3091          ,FABRICACIÓN DE MOTOCICLETAS.
C3091.0        ,FABRICACIÓN DE MOTOCICLETAS.
C3091.01       ,"FABRICACIÓN DE MOTOCICLETAS, VELOMOTORES Y BICICLETAS CON MOTOR AUXILIAR."
C3091.02       ,"FABRICACIÓN DE MOTORES PARA MOTOCICLETAS, PIEZAS, PARTES Y ACCESORIOS DE MOTOCICLETAS INCLUIDO SIDECARS."
C3091.03       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE MOTOCICLETAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C3092          ,FABRICACIÓN DE BICICLETAS Y DE SILLAS DE RUEDAS PARA INVÁLIDOS.
C3092.0        ,FABRICACIÓN DE BICICLETAS Y DE SILLAS DE RUEDAS PARA INVÁLIDOS.
C3092.01       ,"FABRICACIÓN DE BICICLETAS NO MOTORIZADAS Y OTROS VEHÍCULOS SIMILARES, COMO TRICICLOS DE REPARTO O PARA OTROS USOS, TÁNDEMS, BICICLETAS Y TRICICLOS PARA NIÑOS, FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS DE BICICLETAS."
C3092.02       ,"FABRICACIÓN DE SILLAS DE RUEDAS PARA INVÁLIDOS, MOTORIZADOS O NO, FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS DE SILLAS DE RUEDAS PARA INVÁLIDOS."
C3092.03       ,FABRICACIÓN DE COCHECITOS PARA BEBÉS.
C3092.04       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE BICICLETAS Y DE SILLAS DE RUEDAS PARA INVÁLIDOS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C3099          ,FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.
C3099.0        ,FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.
C3099.01       ,"FABRICACIÓN DE VEHÍCULOS DE PROPULSIÓN MANUAL: CARRITOS PARA EQUIPAJE, CARRETILLAS, TRINEOS, CARRITOS PARA SUPERMERCADOS, ETCÉTERA."
C3099.02       ,"FABRICACIÓN DE VEHÍCULOS DE TRACCIÓN ANIMAL: CALESAS, CALESINES, CARROZAS FÚNEBRES, ETCÉTERA."
G4610.07       ,"INTERMEDIARIOS DEL COMERCIO DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO."
C3099.03       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C31            ,FABRICACIÓN DE MUEBLES.
C310           ,FABRICACIÓN DE MUEBLES.
C3100          ,FABRICACIÓN DE MUEBLES.
C3100.0        ,FABRICACIÓN DE MUEBLES.
C3100.01       ,"FABRICACIÓN DE MUEBLES DE MADERA Y SUS PARTES: PARA EL HOGAR, OFICINAS, TALLERES, HOTELES, RESTAURANTES, IGLESIAS, ESCUELAS, MUEBLES ESPECIALES PARA LOCALES COMERCIALES, MUEBLES PARA MÁQUINAS DE COSER, TELEVISIONES, ETCÉTERA."
C3100.02       ,"FABRICACIÓN DE MUEBLES DE METAL Y SUS PARTES: PARA EL HOGAR, OFICINA, TALLERES, HOTELES, RESTAURANTES, IGLESIAS, ESCUELAS, MUEBLES ESPECIALES PARA LOCALES COMERCIALES Y OTROS USOS."
C3100.03       ,FABRICACIÓN DE MUEBLES DE MATERIALES PLÁSTICOS Y SUS PARTES PARA CUALQUIER USO (EXCEPTO MUEBLES PARA USO MÉDICO O AFINES).
C3100.04       ,"FABRICACIÓN DE MUEBLES DE OTROS MATERIALES Y SUS PARTES (EXCEPTO DE CERÁMICA, HORMIGÓN O PIEDRA) PARA CUALQUIER USO COMO: SILLAS Y ASIENTOS DE JARDÍN."
C3100.05       ,"FABRICACIÓN DE COLCHONES: COLCHONES DE MUELLES Y RELLENOS O PROVISTOS DE ALGÚN MATERIAL DE SUSTENTACIÓN, COLCHONES DE CAUCHO CELULAR Y DE PLÁSTICO SIN FORRO, FABRICACIÓN DE BASES DE COLCHÓN."
C3100.06       ,"SERVICIOS DE APOYO A LA FABRICACIÓN Y ACABADO (TAPIZADO DE SILLAS Y SILLONES, LACADO, PINTADO, BARNIZADO CON MUÑEQUILLA, ETCÉTERA) DE MUEBLES A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO"
C32            ,OTRAS INDUSTRIAS MANUFACTURERAS.
G451           ,VENTA DE VEHÍCULOS AUTOMOTORES.
G4510          ,VENTA DE VEHÍCULOS AUTOMOTORES.
G4510.0        ,VENTA DE AUTOMÓVILES Y VEHÍCULOS DE MOTORES LIGEROS.
G4510.01       ,"VENTA DE VEHÍCULOS NUEVOS Y USADOS: VEHÍCULOS DE PASAJEROS, INCLUIDOS VEHÍCULOS ESPECIALIZADOS COMO: AMBULANCIAS Y MINIBUSES, CAMIONES, REMOLQUES Y SEMIRREMOLQUES, VEHÍCULOS DE ACAMPADA COMO: CARAVANAS Y AUTOCARAVANAS, VEHÍCULOS PARA TODO TERRENO (JEEPS, ETCÉTERA), INCLUIDO LA VENTA AL POR MAYOR Y AL POR MENOR POR COMISIONISTAS."
G4510.02       ,SUBASTA DE AUTOMÓVILES.
G452           ,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES.
G4520          ,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES.
G4520.0        ,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES.
G4520.01       ,"MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES: REPARACIÓN MECÁNICA, ELÉCTRICA, SISTEMAS DE INYECCIÓN ELÉCTRICOS, CARROCERÍAS, PARTES DE VEHÍCULOS AUTOMOTORES: PARABRISAS, VENTANAS, ASIENTOS Y TAPICERÍAS. INCLUYE EL TRATAMIENTO ANTI ÓXIDO, PINTURAS A PISTOLA O BROCHA A LOS VEHÍCULOS Y AUTOMOTORES, LA INSTALACIÓN DE PARTES, PIEZAS Y ACCESORIOS QUE NO SE REALIZA COMO PARTE DEL PROCESO DE FABRICACIÓN (PARLANTES, RADIOS, ALARMAS, ETCÉTERA)."
G4520.02       ,"MANTENIMIENTO Y REPARACIÓN, INSTALACIÓN, CAMBIO DE NEUMÁTICOS (LLANTAS) Y TUBOS (VULCANIZADORAS)."
G4520.03       ,"SERVICIOS DE LAVADO, ENGRASADO, PULVERIZADO, ENCERADO, CAMBIOS DE ACEITE, ETCÉTERA."
G453           ,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES."
G4530          ,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES."
G4530.0        ,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES."
G4530.00       ,"VENTA DE TODO TIPO DE PARTES, COMPONENTES, SUMINISTROS, HERRAMIENTAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES COMO: NEUMÁTICOS (LLANTAS), CÁMARAS DE AIRE PARA NEUMÁTICOS (TUBOS). INCLUYE BUJÍAS, BATERÍAS, EQUIPO DE ILUMINACIÓN PARTES Y PIEZAS ELÉCTRICAS."
G454           ,"VENTA, MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS."
G4540          ,"VENTA, MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS."
G4540.0        ,"VENTA DE MOTOCICLETAS, INCLUSO CICLOMOTORES."
G4540.01       ,"VENTA DE MOTOCICLETAS, INCLUSO CICLOMOTORES (VELOMOTORES), TRICIMOTOS."
G4540.02       ,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA MOTOCICLETAS (INCLUSO POR COMISIONISTAS Y COMPAÑÍAS DE VENTA POR CORREO)."
G4540.03       ,ACTIVIDADES DE MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS.
G46            ,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS."
G461           ,VENTA AL POR MAYOR A CAMBIO DE UNA COMISIÓN O POR CONTRATO.
G4610          ,VENTA AL POR MAYOR A CAMBIO DE UNA COMISIÓN O POR CONTRATO.
G4610.0        ,VENTA AL POR MAYOR A CAMBIO DE UNA COMISIÓN O POR CONTRATO.
G4610.01       ,"INTERMEDIARIOS DEL COMERCIO DE MATERIAS PRIMAS AGRARIAS, ANIMALES VIVOS, MATERIAS PRIMAS TEXTILES Y PRODUCTOS SEMIELABORADOS."
G4610.02       ,"INTERMEDIARIOS DEL COMERCIO DE COMBUSTIBLES, MINERALES, METALES, Y PRODUCTOS QUÍMICOS INDUSTRIALES, INCLUIDOS ABONOS."
G4610.03       ,INTERMEDIARIOS DEL COMERCIO DE LA MADERA Y MATERIALES DE CONSTRUCCIÓN.
G4610.04       ,"INTERMEDIARIOS DEL COMERCIO DE MAQUINARIA, EQUIPO INDUSTRIAL, EMBARCACIONES Y AERONAVES."
G4610.05       ,"INTERMEDIARIOS DEL COMERCIO DE MUEBLES, ARTÍCULOS PARA EL HOGAR Y FERRETERÍA."
G4610.06       ,"INTERMEDIARIOS DEL COMERCIO DE TEXTILES, PRENDAS DE VESTIR, PELETERÍA, CALZADO Y ARTÍCULOS DE CUERO."
G4610.09       ,INTERMEDIARIOS DEL COMERCIO DE PRODUCTOS DIVERSOS.
G462           ,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS.
G4620          ,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS.
G4620.1        ,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS.
G4620.11       ,VENTA AL POR MAYOR DE CEREALES (GRANOS) Y SEMILLAS.
G4620.12       ,VENTA AL POR MAYOR DE FRUTOS Y SEMILLAS OLEAGINOSAS.
G4620.13       ,VENTA AL POR MAYOR DE TABACO SIN ELABORAR.
G4620.14       ,"VENTA AL POR MAYOR DE DESECHOS, RESIDUOS Y PRODUCTOS DERIVADOS USADOS PARA ALIMENTAR ANIMALES (FORRAJE), INCLUYE MATERIAS PRIMAS AGRARIAS."
G4620.15       ,VENTA AL POR MAYOR DE FLORES Y PLANTAS.
G4620.19       ,VENTA AL POR MAYOR DE OTRAS MATERIAS PRIMAS AGROPECUARIAS.
G4620.2        ,VENTA AL POR MAYOR DE ANIMALES VIVOS.
G4620.21       ,VENTA AL POR MAYOR DE ANIMALES VIVOS.
G4620.22       ,"VENTA AL POR MAYOR DE CUEROS, PIELES Y OTROS PRODUCTOS ANIMALES."
G463           ,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO."
G4630          ,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO."
G4630.1        ,"VENTA AL POR MAYOR DE FRUTAS, HORTALIZAS Y ESPECIAS."
G4630.11       ,VENTA AL POR MAYOR DE BANANO Y PLÁTANO.
G4630.12       ,"VENTA AL POR MAYOR DE FRUTAS, LEGUMBRES Y HORTALIZAS."
G4630.13       ,VENTA AL POR MAYOR DE PAPA Y TUBÉRCULOS.
G4630.14       ,"VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS."
G4630.2        ,"VENTA AL POR MAYOR DE PRODUCTOS LÁCTEOS, HUEVOS, GRASAS Y ACEITES COMESTIBLES."
G4630.21       ,"VENTA AL POR MAYOR DE PRODUCTOS LÁCTEOS, INCLUIDO HELADOS, BOLOS, ETCÉTERA."
G4630.22       ,VENTA AL POR MAYOR DE HUEVOS Y PRODUCTOS A BASE DE HUEVOS.
G4630.23       ,VENTA AL POR MAYOR DE ACEITES Y GRASAS COMESTIBLES DE ORIGEN ANIMAL O VEGETAL.
G4630.3        ,"VENTA AL POR MAYOR DE CARNE, PRODUCTOS CÁRNICOS Y DE LA PESCA."
G4630.31       ,VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS (INCLUIDAS LAS AVES DE CORRAL).
G4630.32       ,VENTA AL POR MAYOR DE CAMARÓN Y LANGOSTINOS.
G4630.33       ,"VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA."
G4630.9        ,VENTA AL POR MAYOR DE OTROS PRODUCTOS ALIMENTICIOS.
G4630.91       ,VENTA AL POR MAYOR DE ARROZ.
G4630.92       ,"VENTA AL POR MAYOR DE AZÚCAR, CHOCOLATE Y PRODUCTOS DE CONFITERÍA."
G4630.93       ,VENTA AL POR MAYOR DE PRODUCTOS DE PANADERÍA Y REPOSTERÍA.
G4630.94       ,"VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS (JUGOS, GASEOSAS, AGUA MINERAL, ETCÉTERA)."
G4630.95       ,"VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN."
G4630.96       ,VENTA AL POR MAYOR DE PRODUCTOS DE TABACO.
G4630.97       ,VENTA AL POR MAYOR DE ALIMENTO PARA MASCOTAS (ANIMALES DOMÉSTICOS).
G4630.99       ,VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).
G464           ,VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS.
G4641          ,"VENTA AL POR MAYOR DE TEXTILES, PRENDAS DE VESTIR Y CALZADO."
G4641.1        ,VENTA AL POR MAYOR DE TEXTILES.
G4641.11       ,"VENTA AL POR MAYOR DE HILOS (HILADOS), LANAS Y TEJIDOS (TELAS)."
G4641.12       ,"VENTA AL POR MAYOR DE LENCERÍA PARA EL HOGAR CORTINAS, VISILLOS, MANTELERÍA, TOALLAS Y DIVERSOS ARTÍCULOS DOMÉSTICOS."
G4641.13       ,"VENTA AL POR MAYOR DE ARTÍCULOS DE MERCERÍAS: AGUJAS, HILO DE COSTURA, BOTONES, CIERRES, CINTAS, ENCAJES, ALFILERES, ETCÉTERA."
G4641.2        ,VENTA AL POR MAYOR DE PRENDAS DE VESTIR Y ACCESORIOS.
G4641.21       ,"VENTA AL POR MAYOR DE PRENDAS DE VESTIR, INCLUIDAS PRENDAS (ROPA) DEPORTIVAS."
G4641.22       ,"VENTA AL POR MAYOR DE ACCESORIOS DE VESTIR GUANTES, CORBATAS, INCLUYE PARAGUAS Y TIRANTES."
G4641.3        ,VENTA AL POR MAYOR DE CALZADO Y PELETERÍA.
G4641.31       ,VENTA AL POR MAYOR DE CALZADO.
G4641.32       ,VENTA AL POR MAYOR DE ARTÍCULOS DE CUERO (CON PELO NATURAL).
G4649          ,VENTA AL POR MAYOR DE OTROS ENSERES DOMÉSTICOS.
G4649.1        ,"VENTA AL POR MAYOR DE APARATOS ELECTRODOMÉSTICOS, MUEBLES, COLCHONES, ALFOMBRAS Y APARATOS DE ILUMINACIÓN PARA EL HOGAR."
G4649.11       ,"VENTA AL POR MAYOR DE ELECTRODOMÉSTICOS Y APARATOS DE USO DOMÉSTICO: REFRIGERADORAS, COCINAS, LAVADORAS, ETCÉTERA. INCLUYE EQUIPOS DE TELEVISIÓN, ESTÉREOS (EQUIPOS DE SONIDO), EQUIPOS DE GRABACIÓN Y REPRODUCTORES DE CD Y DVD, CINTAS DE AUDIO Y VIDEO CDS, DVD GRABADAS."
H5011          ,TRANSPORTE DE PASAJEROS MARÍTIMO Y DE CABOTAJE.
G4649.12       ,"VENTA AL POR MAYOR DE ARTÍCULOS Y ACCESORIOS FOTOGRÁFICOS Y ÓPTICOS (LENTES DE SOL, BINOCULARES, LUPAS)."
G4649.13       ,"VENTA AL POR MAYOR DE MUEBLES DE HOGAR, COLCHONES Y ALFOMBRAS."
G4649.14       ,VENTA AL POR MAYOR DE EQUIPOS DE ILUMINACIÓN.
G4649.2        ,"VENTA AL POR MAYOR DE PRODUCTOS DE FARMACÉUTICOS, MEDICINALES, MATERIALES MÉDICOS, PERFUMERÍA Y COSMÉTICA."
G4649.21       ,"VENTA AL POR MAYOR DE PRODUCTOS DE PERFUMERÍA, COSMÉTICOS (PRODUCTOS DE BELLEZA) ARTÍCULOS DE USO PERSONAL (JABONES)."
G4649.22       ,"VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS, INCLUSO VETERINARIOS."
G4649.23       ,VENTA AL POR MAYOR DE PRODUCTOS MEDICINALES (NATURISTAS).
G4649.24       ,"VENTA AL POR MAYOR DE INSTRUMENTOS, MATERIALES MÉDICOS Y QUIRÚRGICOS, DENTALES Y ARTÍCULOS ORTOPÉDICOS."
G4649.9        ,VENTA AL POR MAYOR DE OTROS ARTÍCULOS DE USO DOMÉSTICO.
G4649.91       ,"VENTA AL POR MAYOR DE ARTÍCULOS DE MADERA, CORCHO, MIMBRE ETCÉTERA."
G4649.92       ,"VENTA AL POR MAYOR DE BICICLETAS, PARTES Y ACCESORIOS INCLUYEN LOS ARTÍCULOS DEPORTIVOS."
G4649.93       ,"VENTA AL POR MAYOR DE MATERIAL DE PAPELERÍA, LIBROS, REVISTAS, PERIÓDICOS."
G4649.94       ,VENTA AL POR MAYOR DE ARTÍCULOS DE CUERO Y ACCESORIOS DE VIAJE.
G4649.95       ,"VENTA AL POR MAYOR DE ARTÍCULOS DE PORCELANA, CRISTALERÍA, PLÁSTICO, ETCÉTERA; ARTÍCULOS ORNAMENTALES; CUBERTERÍA (CUBIERTOS), VAJILLA, INCLUIDO DESECHABLES."
G4649.96       ,VENTA AL POR MAYOR DE ARTÍCULOS DE LIMPIEZA.
G4649.97       ,"VENTA AL POR MAYOR DE RELOJES, JOYAS Y BISUTERÍA."
G4649.99       ,"VENTA AL POR MAYOR DE OTROS ARTÍCULOS DE USO DOMESTICO: JUEGOS Y JUGUETES, INSTRUMENTOS MUSICALES Y PARTITURAS, ETCÉTERA."
G465           ,VENTA AL POR MAYOR DE MAQUINARIAS EQUIPOS Y MATERIALES.
G4651          ,"VENTA AL POR MAYOR DE COMPUTADORAS, EQUIPO Y PROGRAMAS INFORMÁTICOS."
G4651.0        ,"VENTA AL POR MAYOR DE COMPUTADORAS, EQUIPO Y PROGRAMAS INFORMÁTICOS."
G4651.01       ,VENTA AL POR MAYOR DE COMPUTADORAS Y EQUIPO PERIFÉRICO.
G4651.02       ,VENTA AL POR MAYOR DE PROGRAMAS INFORMÁTICOS (SOFTWARE).
G4652          ,"VENTA AL POR MAYOR DE EQUIPO, PARTES Y PIEZAS ELECTRÓNICOS Y DE TELECOMUNICACIONES."
G4652.0        ,"VENTA AL POR MAYOR DE EQUIPO, PARTES Y PIEZAS ELECTRÓNICOS Y DE TELECOMUNICACIONES."
G4652.01       ,"VENTA AL POR MAYOR DE VÁLVULAS Y TUBOS ELECTRÓNICOS, DISPOSITIVOS DE SEMICONDUCTORES, MICROCHIPS, CIRCUITOS INTEGRADOS Y DE IMPRESIÓN."
G4652.02       ,VENTA AL POR MAYOR DE TELÉFONOS Y EQUIPOS DE COMUNICACIÓN.
G4652.03       ,"VENTA AL POR MAYOR DE CINTAS Y DISQUETES Y DISCOS MAGNÉTICOS Y ÓPTICOS (CD, DVD) DE SONIDO Y DE VÍDEO NO GRABADAS."
G4653          ,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES AGROPECUARIOS."
G4653.0        ,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES AGROPECUARIOS."
G4653.01       ,"VENTA AL POR MAYOR DE MAQUINARIA Y EQUIPO AGROPECUARIOS: ARADOS, ESPARCIDORAS DE ESTIÉRCOL, SEMBRADORAS, COSECHADORAS, TRILLADORAS, MÁQUINAS DE ORDEÑAR, MÁQUINAS UTILIZADAS EN LA AVICULTURA Y LA APICULTURA, TRACTORES UTILIZADOS EN ACTIVIDADES AGROPECUARIAS Y SILVÍCOLAS, SEGADORAS DE CÉSPED DE TODO TIPO, ETCÉTERA."
G4659          ,VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO.
G4659.1        ,VENTA AL POR MAYOR DE MAQUINARIA Y EQUIPO DE OFICINA.
G4659.11       ,"VENTA AL POR MAYOR DE MAQUINARIA Y EQUIPO DE OFICINA: CALCULADORA, MÁQUINAS DE ESCRIBIR, CONTADORA DE MONEDAS, EXCEPTO COMPUTADORAS Y EQUIPO INFORMÁTICO."
G4659.12       ,VENTA AL POR MAYOR DE MUEBLES DE OFICINA.
G4659.2        ,VENTA AL POR MAYOR DE MAQUINARIA PARA USO EN LA INDUSTRIA TEXTIL Y OTRAS INDUSTRIAS.
G4659.21       ,"VENTA AL POR MAYOR DE MÁQUINAS HERRAMIENTA CONTROLADAS O NO POR COMPUTADORA PARA LA INDUSTRIA TEXTIL, CUERO Y OTRAS INDUSTRIAS, INCLUYE LA VENTA AL POR MAYOR DE SUS PARTES Y PIEZAS."
G4659.22       ,VENTA AL POR MAYOR DE MAQUINARÍA PARA LA MINERÍA Y CONSTRUCCIÓN; INCLUYE PARTES Y PIEZAS.
G4659.23       ,VENTA AL POR MAYOR DE MÁQUINAS Y HERRAMIENTAS PARA LA METALURGIA; INCLUYE PARTES Y PIEZAS.
G4659.24       ,"VENTA AL POR MAYOR DE MÁQUINAS PARA LA ELABORACIÓN DE ALIMENTOS, BEBIDAS Y TABACO (INCLUSO PARA HOTELES Y RESTAURANTES), MÁQUINAS PARA LAVAR, SECAR Y SELLAR BOTELLAS, INCLUYE LA VENTA AL POR MAYOR DE SUS PARTES Y PIEZAS."
G4659.9        ,VENTA AL POR MAYOR DE OTRA MAQUINARIA Y EQUIPO.
G4659.91       ,"VENTA AL POR MAYOR DE EQUIPO DE TRANSPORTE (LANCHAS, AVIONES, TRENES, ETCÉTERA.) EXCEPTO VEHÍCULOS MOTORIZADOS, MOTOCICLETAS Y BICICLETAS."
G4659.92       ,VENTA AL POR MAYOR DE INSTRUMENTOS Y EQUIPO DE MEDICIÓN Y PRECISIÓN.
G4659.93       ,"VENTA AL POR MAYOR DE EQUIPO ELÉCTRICO COMO: MOTORES ELÉCTRICOS, TRANSFORMADORES, (INCLUYE BOMBAS PARA LÍQUIDOS),  CABLES, CONMUTADORES Y DE OTROS TIPOS DE EQUIPO DE INSTALACIÓN DE USO INDUSTRIAL."
G4659.94       ,VENTA AL POR MAYOR DE EQUIPO MÉDICO Y EQUIPO DE LABORATORIO.
G4659.95       ,VENTA AL POR MAYOR DE EQUIPO DE SEGURIDAD.
G4659.99       ,"VENTA AL POR MAYOR DE MÁQUINAS HERRAMIENTA DE CUALQUIER TIPO Y PARA CUALQUIER MATERIAL: MADERA, ACERO, ETCÉTERA. LA VENTA DE OTROS TIPOS DE MAQUINARIA N.C.P. PARA USO EN LA INDUSTRIA, EL COMERCIO, LA NAVEGACIÓN Y OTROS SERVICIOS. INCLUYE VENTA AL POR MAYOR DE ROBOTS PARA CADENAS DE MONTAJE, ARMAS, ETCÉTERA."
G466           ,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA.
G4661          ,"VENTA AL POR MAYOR DE COMBUSTIBLES SÓLIDOS, LÍQUIDOS Y GASEOSOS Y PRODUCTOS CONEXOS."
G4661.0        ,"VENTA AL POR MAYOR DE COMBUSTIBLES SÓLIDOS, LÍQUIDOS Y GASEOSOS Y PRODUCTOS CONEXOS."
G4661.01       ,VENTA AL POR MAYOR DE PETRÓLEO CRUDO.
G4661.02       ,"VENTA AL POR MAYOR DE COMBUSTIBLES SÓLIDOS: CARBÓN, CARBÓN VEGETAL, LEÑA MADERA TURBA."
G4661.03       ,"VENTA AL POR MAYOR DE COMBUSTIBLES LÍQUIDOS NAFTA, GASOLINA, BIOCOMBUSTIBLE INCLUYE GRASAS, LUBRICANTES Y ACEITES, GASES LICUADOS DE PETRÓLEO, BUTANO Y PROPANO."
G4662          ,VENTA AL POR MAYOR DE METALES Y MINERALES METALÍFEROS.
G4662.0        ,VENTA AL POR MAYOR DE METALES Y MINERALES METALÍFEROS.
G4662.01       ,VENTA AL POR MAYOR DE MINERALES METALÍFEROS FERROSOS Y NO FERROSOS; INCLUYE LA VENTA AL POR MAYOR DE METALES FERROSOS Y NO FERROSOS EN FORMAS PRIMARIAS.
G4662.02       ,VENTA AL POR MAYOR DE PRODUCTOS SEMIACABADOS DE METALES FERROSOS Y NO FERROSOS N.C.P.
G4662.03       ,VENTA AL POR MAYOR DE ORO Y OTROS METALES PRECIOSOS.
G4663          ,"VENTA AL POR MAYOR DE MATERIALES PARA LA CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA, EQUIPO, MATERIALES DE FONTANERÍA (PLOMERÍA O GASFITERÍA) Y CALEFACCIÓN."
G4663.1        ,"VENTA AL POR MAYOR DE MADERA, MATERIALES DE CONSTRUCCIÓN."
G4663.11       ,VENTA AL POR MAYOR DE MADERA NO TRABAJADA (EN BRUTO) Y PRODUCTOS DE LA ELABORACIÓN PRIMARIA DE MADERA: TABLEROS AGLOMERADOS.
G4663.12       ,"VENTA AL POR MAYOR DE PINTURA, BARNICES Y LACAS."
G4663.13       ,"VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN: PIEDRA, ARENA, GRAVA, CEMENTO, ETCÉTERA."
G4663.14       ,"VENTA AL POR MAYOR DE PAPEL TAPIZ Y REVESTIMIENTO DE PISOS (BALDOSAS, LINÓLEO)."
G4663.15       ,VENTA AL POR MAYOR DE VIDRIO PLANO Y ESPEJOS.
G4663.2        ,"VENTA AL POR MAYOR DE ARTÍCULOS DE FERRETERÍAS, FONTANERÍA (PLOMERÍA O GASFITERÍA) Y CALEFACCIÓN."
